Tên Chợ,Vĩ độ (Lat),Kinh độ (Lon),Loại dữ liệu,OSM ID
Chợ phiên Sín Chéng,22.6609298,104.2275152,node,4887485025
Chợ (Không tên),10.9175385,106.7524888,node,4895243369
Chợ Thống Nhất,20.6047164,106.0989321,node,4900690841
Chợ Quế,20.5757389,105.8728946,node,4900694693
Chợ Khiết Tâm,10.8763939,106.746659,node,4938463194
Chợ An Lạc,10.7418135,106.6200916,node,4988383959
Chợ Chim Xanh,10.7659514,106.6484854,node,5001799155
Chợ Vĩnh Bình,10.4410671,105.1709736,node,5085853552
Chợ (Không tên),10.0007021,105.7439931,node,5089151009
Chợ Phố Châu,18.5112015,105.4221761,node,5115399458
Chợ Thị trấn Phong Thổ,22.5438048,103.2868722,node,5147709269
Chợ Điện Dương mới,15.9215858,108.3005673,node,5158938154
Chợ Trần Việt Châu,10.0460336,105.7679807,node,5177435713
Chợ (Không tên),20.4339651,106.1625194,node,5193749231
Chợ (Không tên),10.7702128,106.67081,node,5211511726
Siêu thị Vinmart+,10.0345454,105.7757047,node,5211512515
Công ty Cổ phần nông sản thực phẩm xuất khẩu Cần thơ,10.0393106,105.7768822,node,5211519523
Chợ An Hòa,10.0495793,105.7727998,node,5245298504
Chợ Cần Thơ,10.0314505,105.7881126,node,5251841865
Nhà Lồng 3,10.0059155,105.7506658,node,5253292065
Chợ Kênh Mới,9.1388922,104.8204145,node,5253429855
Chợ (Không tên),10.0253269,105.7669044,node,5257231529
Cho Ha Than,16.0646963,108.2313711,node,5273999821
Chợ Thanh Toàn,16.4662802,107.6429665,node,5295611823
Chợ Chín Bộ,9.1520109,104.8594326,node,5302713334
Chợ Khánh Hải,9.0918683,104.8586118,node,5302714778
Chợ Bình Minh,22.4226327,104.0267542,node,5303225645
Chợ Cống,16.4701276,107.5993973,node,5323669423
Chợ Gò Mối,13.8423321,109.1389768,node,5336224422
Chợ La Hai,13.3814082,109.1064816,node,5336410883
Souvenir Shops,17.5302143,106.2281531,node,5338995127
Souvenir Shops,17.5303156,106.2279196,node,5339019725
Cho Dong Van,20.2138765,105.9346101,node,5350977622
chợ Nước Xoáy,10.344884,105.6810343,node,5374181271
chợ Nước Xoáy ( mới ),10.3453898,105.6803559,node,5374201673
Chợ Tân Giang,22.6534056,106.2689428,node,5377612024
Chợ Trung tâm,22.9470418,105.6807396,node,5380395923
Chợ Diêu Trì,13.8069456,109.1460068,node,5380926921
Cho Minh Khai,22.8198783,104.9856553,node,5390086448
Chợ Phạm Thế Hiển,10.7432291,106.6711112,node,5433188022
Chợ Tân Kiểng 1,10.7515198,106.7054977,node,5436824926
Chợ Nghĩa Thành,10.5779134,107.2068697,node,5454129164
Chợ Đá Bạc,10.5949337,107.2844875,node,5454129843
Chợ (Không tên),13.7993879,107.6933052,node,5477405246
Chợ Bà Bộ,10.0367957,105.7448494,node,5485018721
Chợ Phước Hưng,9.7584653,106.3091651,node,5485646022
Chợ Sáng Trần Quang Diệu,21.0170546,105.8270102,node,5485651759
Chợ Tình Sapa,21.008478,105.8133716,node,5485657266
Chợ Láng Thượng,21.0236535,105.8048715,node,5485660083
Chợ Hoa Quảng An,21.0679022,105.8272796,node,5485665267
Chợ (Không tên),21.0282006,105.841697,node,5485711487
Chợ Si Ma Cai,22.6989784,104.2861515,node,5487844821
Chợ Sa Thầy,14.4080323,107.7977683,node,5489021732
Chợ Mẹt,21.5077954,106.346572,node,5495489369
Chợ Bàu Lâm,10.6868658,107.3895282,node,5542825353
Chợ Bến Đình,10.3721127,107.0766337,node,5552599299
Chợ (Không tên),10.0169843,105.7045028,node,5563605675
Chợ (Không tên),11.7892233,108.2435489,node,5564524970
Chợ Bàu Sen,10.7581159,106.6784826,node,5598913820
Chợ (Không tên),10.7625665,106.6731423,node,5598915237
Chợ (Không tên),10.7665321,106.6761598,node,5598915523
Nguyễn Công Trứ,10.3420618,107.0768538,node,5599563192
Chợ Phước Hoà,10.7111536,107.0057555,node,5613330520
Chợ Phước Bình,10.659928,107.0375791,node,5613330535
Chợ Chờ,21.1945675,105.9557221,node,5618095144
Chợ Phương Lâm,20.8203616,105.3403319,node,5641539689
Chợ Phú Thủy 1,10.9342964,108.1123856,node,5648652582
Chợ Phú Thủy 2,10.9343085,108.1121784,node,5648652583
Chợ Thái Hòa,21.4474434,105.526253,node,5663035960
Chợ Bình An,10.8984228,106.8084973,node,5747292796
Chợ Sao Đỏ,21.1138256,106.396848,node,5913680225
Chợ Đêm,15.8757772,108.3259285,node,6099308589
Chợ (Không tên),10.2277709,103.9720455,node,6149190186
Rạch Dầu,10.2775044,105.5866446,node,6185903320
Co.op Mart,10.7720132,106.7716974,node,6239863087
Chợ (Không tên),14.8877641,108.9201365,node,6261955923
Chợ Ngan Rô,9.5480593,106.1672401,node,6271518737
Chợ Nổi Ngã Năm,9.5663969,105.597209,node,6285930895
Chợ Lớn Phan Thiết,10.9259621,108.0968567,node,6328264154
Chợ Độc Lập,21.0087034,107.3022625,node,6367481530
Cho Giong,20.9775335,106.4270189,node,6367775739
Chợ (Không tên),11.5702941,108.9927188,node,6408708783
Chợ Nam Phước market,15.8434221,108.2808133,node,6422678433
Chợ Xuân Lộc,13.5807491,109.2003008,node,6436564371
Thông Dông,10.2691397,105.616784,node,6456807230
Chợ Chiều,14.009325,109.0563283,node,6468350788
Chợ (Không tên),10.0638619,104.0174482,node,6477936687
Chợ Đo Đạc,10.7943977,106.7346479,node,6512360893
Chợ Biên giới A Pa Chải - Long Phú,22.4302785,102.1724466,node,6515217495
Chợ Mỹ Nhơn,10.1029624,106.5845966,node,6543711531
Chợ (Không tên),16.0141734,108.2051349,node,6572764000
Chợ thực phẩm Thông Dông,10.2697784,105.6175273,node,6609183044
Chợ Ông Bầu,10.4441518,105.6963827,node,6643747671
Viet Mark,21.0066433,105.8614475,node,6685404399
Chợ (Không tên),21.0201039,105.8010869,node,6685506998
Chợ (Không tên),10.8296646,106.6358594,node,6699586167
Chợ Chiềng Mung,21.2382756,104.0147546,node,6704906860
Circle K,10.7752756,106.634713,node,6723955889
Co.op Food - Trịnh Đình Thảo,10.7752486,106.6347907,node,6724540548
Circle K,10.7697462,106.633742,node,6725178924
Circle K,10.760328,106.6808899,node,6727039411
Circle K,10.7608827,106.6796708,node,6775727584
Chợ (Không tên),10.8208871,106.7039424,node,6800082283
Chợ Xanh Linh Đàm,20.9658478,105.83422,node,6849181831
Chợ Hải Sản Hồ Tràm,10.4704151,107.436613,node,6920067323
Chợ Long Điền,10.4937697,107.2149432,node,6937327521
Cong Bang Market,22.5962627,105.588833,node,6941237880
Chợ (Không tên),13.6352659,109.2267898,node,6947288213
Chợ chiều,20.162609,105.92953,node,7055942208
Chợ giữa,20.1582444,105.9210646,node,7055942209
Chợ sáng,20.1535555,105.912164,node,7055942210
TK mark,20.9891267,105.8080635,node,7055975987
Chợ (Không tên),21.032155,105.8125797,node,7061733386
Cong Hua Xa,16.0558591,108.2393895,node,7085739056
Chợ Phường 8,10.3634914,107.0915822,node,7100657303
Chợ Thôn Hoành,20.8014384,105.6765966,node,7148520378
Chợ (Không tên),15.957235,108.2916707,node,7156887353
Chợ (Không tên),21.622539,106.3534239,node,7176653297
CHỢ BA CANH,17.1375665,106.8077627,node,7178476934
Chợ (Không tên),21.1098019,105.8772089,node,7178806762
Chợ (Không tên),15.9135878,108.335558,node,7190630579
Chợ (Không tên),21.032633,105.8530217,node,7202554793
Chợ (Không tên),20.9013465,105.7179216,node,7229303135
Market,17.7359559,105.9610141,node,7247214590
Chợ Giang Đình,18.6631822,105.759296,node,7261115026
Chợ Dục Mỹ,12.5361869,109.019279,node,7291264096
Chợ Đại Chánh,15.8059796,108.0402111,node,7520823002
Chợ An Thới,10.0176177,104.0137681,node,7629278439
Chợ Bà Tô,10.5349703,107.4006513,node,7798496950
Trung tâm Thương mại Chợ Tân Thành,11.1513006,106.8423977,node,7802527527
Chợ Long Thạnh,10.3848268,106.9109483,node,7820394459
Chợ Huyện Sìn Hồ,22.3596522,103.2491335,node,7930629962
Chợ Yên Minh,23.1194543,105.1406609,node,8042146303
Chợ Trước Cổng Trung Tâm Y Tế,20.9680682,105.7788857,node,8185432737
Chợ Trà,20.3030163,106.3912002,node,8247016531
Siêu Thị Sky Fresh,10.7921246,106.7228756,node,8269175107
Chợ (Không tên),20.9038065,105.7232177,node,8282900558
Chợ chiều 5 ngàn,15.8857972,107.4906139,node,8422540935
Chợ Long Hậu,10.2919127,105.6376686,node,8566792726
Chợ ký túc xá Samsung Thái NGuyên,21.4194994,105.8973186,node,8793754100
Chợ (Không tên),21.0680393,107.4235117,node,8878101804
Chợ (Không tên),10.290569,105.657314,node,8929776994
Chợ Hải Sản,10.289919,105.6577304,node,8929776995
Vitalmart,21.0115909,105.7961933,node,8938435127
Chợ Hải Tiến,21.5379732,107.8597918,node,8978958400
Chợ Hải Đông,21.5403633,107.8870967,node,8978963816
Chợ số 4,21.5358051,107.9765001,node,8995474586
Chợ (Không tên),21.5068963,105.8059257,node,9028029211
Chợ (Không tên),21.5084336,105.8081634,node,9028029212
Chợ (Không tên),21.4775863,105.8399959,node,9028150826
Chợ (Không tên),21.4707782,105.8309506,node,9028150834
Chợ (Không tên),21.4690654,105.8302987,node,9028150835
Chợ (Không tên),21.472647,105.845236,node,9028183710
Chợ (Không tên),21.4451213,105.8592231,node,9028202320
Chợ (Không tên),21.4598482,105.8646622,node,9028202329
Chợ Chùa Hang,21.6252658,105.8452625,node,9028649344
Chợ Thuận Hoà,16.4681042,107.5740745,node,9185956825
Chợ Tư Đình,21.0273881,105.8871527,node,9237323772
Siêu Thị K,21.0150675,105.7768155,node,9584817367
Chợ Hoa Hồ Thị Kỷ,10.7656721,106.6774059,node,9584841106
Chợ Xanh Định Công,20.9848352,105.833731,node,9587087000
Chợ An Nhơn,10.8412339,106.6772851,node,9587204863
Bách Hoá Xanh - 2C - 2D Phùng Văn Cung,10.7999139,106.6866177,node,9587329655
Chợ Phước Long B,10.8292978,106.7687005,node,9587375643
Chợ Dân Sinh,10.7665534,106.6979948,node,9587486344
Chợ Cô Giang,10.7627952,106.6947299,node,9587486348
Chợ Cư xá Ngân hàng,10.7482605,106.7167158,node,9587493562
Chợ Linh Xuân,10.8774415,106.7660961,node,9587493568
Chợ Lò Than,10.7398106,106.6539072,node,9587566620
Chợ Lạc Quang,10.8353586,106.6196328,node,9587618722
Chợ Ngã Ba Bầu,10.8701553,106.615238,node,9587618738
Chợ Phú Hữu,10.7905502,106.789698,node,9587618741
Chợ Đầu mối Nông Sản Thực Phẩm Hóc Môn,10.8600343,106.6014401,node,9587618747
Chợ Xóm Mới,10.8500841,106.6643054,node,9593240659
Chợ Thông Dụng,10.9359603,106.7447949,node,9593278310
Chợ Bình Đáng,10.9193995,106.7290922,node,9593278311
Chợ Hài Mỹ,10.9745582,106.7154313,node,9593278312
Chợ Đêm Linh Trung,10.8896113,106.7269697,node,9593340023
Chợ Tân Phước Khánh,11.0046937,106.7199894,node,9593340028
Chợ Vĩnh Tân,11.1170754,106.7031525,node,9593340029
Chợ Phú Phong,10.9716237,106.7421133,node,9593340030
Chợ Bà Lát,10.7709448,106.5515239,node,9593358308
Chợ Hưng Long,10.6579687,106.6082338,node,9593386645
Chợ 78,10.9396653,106.7187971,node,9593572486
Chợ Chí Hùng,10.9771814,106.7536811,node,9593572493
Chợ Dĩ An 2,10.8847076,106.7579605,node,9593572496
Chợ 434,10.9179867,106.7343481,node,9593572497
Chợ Tân Nhựt,10.7052372,106.5641671,node,9593946657
Chợ Liên Ấp 123,10.7908531,106.5803932,node,9593946662
Chợ Đông Thạnh,10.9041924,106.6365673,node,9593974912
Chợ Cây Điệp,10.8111914,106.6953748,node,9729070768
Chợ Trúc,19.408736,105.7545689,node,9772374088
Chợ Hòa Lạc,21.02722,105.5188858,node,9844633824
Cho Hoa Kanh,10.3621626,105.9879748,node,9921259772
Chợ Trung Tự,21.0086201,105.8330627,node,9976457533
Chợ Nam Đồng,21.0117663,105.8283958,node,9976457534
Chợ (Không tên),20.1434785,106.0282308,node,10221070952
Chợ Chùa Hữu Định,10.25921,106.4254573,node,10574527482
Chợ Bách Khoa,21.0016618,105.845399,node,10720585225
Chợ Phường 6,10.2469779,106.3614732,node,10784604641
Chợ Sơn Hòa,10.2573534,106.3161172,node,10799545892
Chợ Thành Triệu,10.295416,106.2580881,node,10799584526
Chợ Sơn Đông,10.2674986,106.3351811,node,10806643281
Chợ Trường Thịnh,10.2473801,106.2707406,node,10806645009
Chợ Miên,10.2534776,106.2783066,node,10806655652
Chợ Thành An,10.2033402,106.3155638,node,10806683345
Chợ Chùa Tân Thành,10.2566861,106.3631518,node,10821789269
Chợ An Linh,11.3554763,106.7269866,node,10828675390
Chợ Bưởi,21.0481877,105.8066076,node,10858085458
Chợ Phú An,20.9529795,106.2491153,node,11018657316
chợ xã kháng nhật,21.6704519,105.428872,node,11050219523
Chợ Thạch Sơn,20.1857755,105.6086244,node,11051471334
Chợ Yên Dạ,20.1641033,105.6274314,node,11051539239
Chợ Kim Tân,20.1294471,105.6689734,node,11052249148
Chợ Thạch Yến,20.2466189,105.5538197,node,11052276896
Tạp hoá Hoàn Tèo,20.1860764,105.6081544,node,11055483916
Chợ Bến,20.6858256,105.6692165,node,11058019888
Chợ Rạch Chanh,10.4718479,105.6358954,node,11076377967
Chợ Thuận Mỹ,10.4452838,106.5618713,node,11093760292
Chợ Tân Trạch,10.5630164,106.5732226,node,11097050854
Chợ Phước Minh,11.3137212,106.3081372,node,11114726518
Chợ Võ Xá,17.3845685,106.6534076,node,11164706028
Chợ Châu Thạnh,10.7175827,105.1142038,node,11183759523
Chợ An Khánh,10.0389576,105.7544119,node,11242047896
Chợ phường Nguyễn Trãi,14.337893,107.9933757,node,11259490548
Chợ Đồng Hới,17.4645798,106.6275579,node,11350925677
Chợ Lạc Nghiệp,11.8453985,108.599519,node,11358520775
Chợ Châu Sơn,11.8205197,108.5685861,node,11358549903
Market Street,16.0557874,108.2394141,node,11360322717
Fruits and vegetables,15.876183,108.3315667,node,11364104179
Produce,15.891668,108.314232,node,11364117282
Chợ đêm Biên Hùng,10.9533848,106.8215467,node,11371018271
Chợ (Không tên),15.864851,108.3243023,node,11374673629
Market 6,13.7658958,109.2163034,node,11379409636
Chợ (Không tên),13.7651984,109.2158757,node,11379438914
Chợ (Không tên),13.7656833,109.2165916,node,11379440826
Chợ (Không tên),13.7527572,109.2120071,node,11379461348
Evening Textile Market,13.7641678,109.2210722,node,11379467998
Market 2 (Produce and fish),13.7658704,109.2247217,node,11381337839
Central Market,13.7724381,109.224633,node,11383439688
Fruits (cheap & specials),10.3499361,107.086166,node,11424996126
Thai Market,15.9963119,107.9889349,node,11427582964
Chợ Huỳnh Văn Chính,10.7808343,106.6414933,node,11465699290
Chợ Vĩnh Viễn,9.664509,105.4632675,node,11497041281
Chợ dân sinh HH,20.9629327,105.8268188,node,11506051549
Chợ Đông Giang,11.5512924,109.029459,node,11528315807
Chợ hoa Xuân,14.3640033,108.0182041,node,11536762467
Chợ Vĩnh Tuy,21.0017434,105.8716876,node,11644919775
Chợ (Không tên),21.6023227,104.5122183,node,11768914351
Chợ Gành Dầu,10.3731575,103.8474338,node,11849971190
Chợ Nho Lâm,13.0754891,109.2247991,node,11869832496
Chợ Phước Mỹ,16.0665465,108.2422676,node,11888483369
Chợ Cầu Ngang,9.7968888,106.4516051,node,11932349853
Chợ (Không tên),20.9671325,105.8187521,node,11936494469
Chợ đêm Na Hang,22.3478558,105.381227,node,11968161272
Chợ Baza,21.0857314,105.9408587,node,11989415196
Chợ (Không tên),15.9133389,108.3360666,node,12014356930
Hà Đăng Mart,21.0151651,105.7825427,node,12033021597
Marché de nuit de con dao,8.6861708,106.6087566,node,12071744837
Chợ (Không tên),12.27906,108.9087018,node,12089209127
Chợ quê Nghiêm Xá,20.8080169,105.8533554,node,12090162463
Chợ Đông Hải,9.5499006,106.4329755,node,12121697364
Chợ Đồn,13.1643216,109.1311186,node,12123891375
Chợ Sơn Hòa,13.0477958,108.9754636,node,12123891604
Cảng cá Vũng Chao,13.4462441,109.2903273,node,12128947555
Chợ Vũng Chao,13.4455109,109.2911613,node,12128947556
Chợ nổi mới Tân Phong,10.3122272,106.032718,node,12141867902
Chợ Giồng Chùa,9.986144,106.5038628,node,12156991369
Chợ Mễ Trì,21.0103485,105.7788194,node,12177717116
Seafood mini-market,10.7910098,106.7073948,node,12259274107
Local Market,10.3366448,106.0323966,node,12331133804
Chợ đêm Lê Duẩn,16.070751,108.2150164,node,12333995781
Chợ đêm Bà Rịa,10.4962728,107.1658032,node,12468113279
Phố đêm xứ Trảng,11.0317784,106.3538818,node,12495635616
Night Market,10.1151424,103.9835591,node,12541150253
Chợ (Không tên),20.6512969,105.155906,node,12548844505
Chợ (Không tên),16.3074976,108.0045335,node,12603382390
Chợ Cây Quéo,10.8089294,106.6868754,node,12606376174
Chợ (Không tên),11.4237407,107.4369806,node,12613088206
Chợ (Không tên),11.2852501,107.4884473,node,12617618204
Chợ (Không tên),16.6195122,106.5987524,node,12623112102
Chợ (Không tên),9.7983682,104.6326228,node,12623423813
Chợ (Không tên),9.7990969,104.6130697,node,12625585280
Chợ (Không tên),18.4599537,105.316618,node,12651652601
Chợ (Không tên),21.9598313,106.36705,node,12682591168
Chợ Côn Minh,22.126094,106.0220217,node,12682625621
Chợ Thành Công,21.0227967,105.8153118,node,12694077466
Chợ Định,21.1144527,105.6627411,node,12717381058
Chợ Phú Diễn,21.0520228,105.7581687,node,12769662336
Chợ Canh,21.0343959,105.7418874,node,12769681330
Chợ (Không tên),21.8505246,104.0886776,node,12770199802
Chợ Bến Phà,20.8166666,106.6250831,node,12799672101
Chợ (Không tên),20.8462474,104.6407251,node,12805351601
Chợ,22.4738913,105.6468216,node,12809075901
Chợ Gò Công,20.801644,106.6267057,node,12813271402
Chợ Cốm Mễ Trì Hạ,21.0136877,105.7801751,node,12814113704
Chợ Thuận An,9.7703956,106.128837,node,12816821831
Chợ Cầu Quan,9.7668024,106.1332887,node,12817041417
Chợ thôn Đoàn Kết,21.1569857,106.2544728,node,12817187699
Chợ Đồng Sài,21.1479966,106.2297318,node,12817196952
Chợ (Không tên),21.1500767,106.2544923,node,12817227917
Chợ Đa Phúc,20.7946845,106.6564989,node,12830144901
Chợ Hàng,20.8350649,106.6782325,node,12846494962
Chợ Cầu Kè,9.8723353,106.056032,node,12847010016
Chợ Càng Long,9.9976064,106.2058939,node,12851063864
Chợ Gốc si,20.9403759,106.0044732,node,12871235926
Chợ Châu Cầu mới,21.1234285,106.2448328,node,12875264597
Chợ Báu,20.9384228,106.0026924,node,12891859280
Chợ Xuân Quế,10.8442331,107.1663828,node,12925497504
Chợ Chu Mẫu,21.1662869,106.0982866,node,12944060163
Chợ Vân Canh,21.034708,105.7373662,node,12980196296
Chợ Phường 7,10.3677588,107.0829203,node,12995457671
